CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
576.0,2.0,True,pipes_found,4.0,PIPE_LM,9.306244751097761,2.4,1.0,5.175468999634724,5,2,False
578.0,2.0,True,pipes_found,3.0,PIPE_LM,8.925801751772475,2.25,3.0,6.264926413027826,4,2,False
579.0,2.0,True,pipes_found,3.0,PIPE_LM,7.671107859644118,2.5,3.0,7.671107859644118,2,1,False
580.0,2.0,True,pipes_found,4.0,PIPE_LM,8.30269495060098,3.0,2.0,5.050933439774926,6,3,False
581.0,2.0,True,pipes_found,3.0,PIPE_LM,9.09789674619725,2.3333333333333335,2.0,8.56508080240503,3,1,False
583.0,2.0,True,pipes_found,3.0,PIPE_LM,8.044158670699986,2.4285714285714284,2.0,6.213235304557175,7,3,False
584.0,3.0,True,pipes_found,2.0,SPLY_LS,8.598051587268964,1.5,1.0,7.360890918287799,2,0,False
585.0,2.0,True,pipes_found,3.0,PIPE_LM,5.253223171805706,2.0,1.0,0.23254274274617315,4,1,False
586.0,2.0,True,pipes_found,4.0,PIPE_LM,7.396304147770203,2.75,3.0,4.682308113081665,8,4,False
587.0,2.0,True,pipes_found,4.0,PIPE_LM,8.177210360260265,2.4,3.0,4.057934306393957,5,2,False
588.0,2.0,True,pipes_found,4.0,PIPE_LM,5.456191113444113,3.0,4.0,5.456191113444113,3,2,False
589.0,2.0,True,pipes_found,4.0,PIPE_LM,5.009941389915949,2.857142857142857,2.0,3.1705934757624243,14,8,False
590.0,2.0,True,pipes_found,3.0,PIPE_LM,9.988461234123099,2.5,2.0,8.540166435018273,2,1,False
