repair_id,복구타입,위도,경도,주소,작업일시,구군
173,지상누수,35.8921317,128.6057953,북구 대학로9길 13-1 (산격동) / 1421-33번지,2009-11-06 21:54:00,북구
174,지상누수,35.8930283,128.605446,북구 산격로 28-3 (산격동) / 1413-33번지,2009-11-18 17:13:00,북구
175,지상누수,35.8921276,128.5969563,북구 연암로12길 9-2 (산격동) / 1052번지,2009-11-09 16:05:00,북구
176,지상누수,35.8964225,128.6083507,북구 대동로8길 23-1 (산격동) / 1249-40번지,2009-12-30 12:41:00,북구
177,지상누수,35.8959332,128.6097411,북구 산격로14길 42 (산격동) / 1306-20번지,2010-01-03 12:49:00,북구
178,지상누수,35.8943311,128.6089668,북구 대학로17길 22-3 (산격동) / 1313-36번지,2009-07-06 18:19:00,북구
179,지상누수,35.8958428,128.6037225,북구 산격로11길 13-3 (산격동) / 1423-25번지,2010-01-06 11:52:00,북구
180,지상누수,35.897077,128.6077305,북구 대학로13길 60 (산격동) / 1251-16번지,2009-11-04 18:47:00,북구
181,지상누수,35.8963248,128.6004439,북구 연암공원로 66-10 (산격동) / 1163-7번지,2009-06-15 17:55:00,북구
182,지상누수,35.8938019,128.6078556,북구 산격로8길 23-2 (산격동) / 1326-24번지,2010-02-01 13:56:00,북구
183,지상누수,35.8954002,128.6107026,북구 대학로25길 13-5 (산격동) / 1307-22번지,2010-01-28 15:20:00,북구
184,지상누수,35.8974345,128.5983333,북구 연암공원로11길 15-13 (산격동) / 1180-14번지,2009-07-29 10:00:00,북구
185,지상누수,35.8917529,128.6062886,북구 대학로 59-36 (산격동) / 1416-5번지,2009-08-26 20:25:00,북구
186,지상누수,35.8965107,128.598511,북구 연암공원로11길 3-19 (산격동) / 1168-3번지,2009-12-17 12:07:00,북구
187,지상누수,35.8927563,128.6086165,"북구 산격로6길 29-4, (미미) (산격동) / 1393-5번지",2009-12-20 13:56:00,북구
188,지상누수,35.8926445,128.6060532,북구 산격동 1412-24,2010-03-18 19:50:00,북구
189,지상누수,35.8948437,128.6038297,북구 산격로9길 11 (산격동) / 1427-6번지,2009-09-25 14:46:00,북구
190,지상누수,35.8967631,128.6092371,북구 대동로8길 16-1 (산격동) / 1250-29번지,2009-11-23 18:43:00,북구
191,지상누수,35.8925102,128.6007659,북구 연암로 40 (산격동) / 1446-1번지,2009-08-19 13:00:00,북구
192,지상누수,35.8961747,128.6118559,북구 대동로 52-4 (산격동) / 1275-7번지,2009-08-24 09:24:00,북구
193,지상누수,35.8929279,128.6061233,북구 대학로9길 24-5 (산격동) / 1411-71번지,2010-01-28 16:07:00,북구
194,지상누수,35.8903724,128.6026803,북구 대구체육관로4길 18 (산격동) / 1401-33번지,2009-12-24 15:30:00,북구
195,지상누수,35.8984009,128.6055977,북구 연암공원로32길 50-3 (산격동) / 1222-13번지,2010-03-05 13:28:00,북구
196,지상누수,35.8968395,128.6064995,북구 대학로9길 72-6 (산격동) / 1244-3번지,2011-01-16 14:00:00,북구
197,지상누수,35.8956008,128.6100887,북구 대학로25길 20-1 (산격동) / 1306-17번지,2010-03-09 18:52:00,북구
198,지상누수,35.8982769,128.605643,"북구 연암공원로32길 50-1, 자납 (산격동) / 1222-14번지",2010-03-05 13:48:00,북구
199,지상누수,35.8930297,128.5985357,북구 연암공원로8길 15-10 (산격동) / 1099-25번지,2010-01-28 20:01:00,북구
200,지상누수,35.8949622,128.5982041,북구 연암공원로7길 6-17 (산격동) / 1135-20번지,2010-01-07 12:28:00,북구
201,지상누수,35.8966371,128.5993274,"북구 연암공원로13길 5, 삼성그린빌B동 201호 (산격동) / 1180-166번지",2010-11-02 18:00:00,북구
202,지상누수,35.8950317,128.6061481,북구 산격로10길 7 (산격동) / 1407-75번지,2010-06-24 22:34:00,북구
