rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
233,Km,경상누층군묘곡층,1,2150211.90288,2150211.90288,7308.63650816,1,중생대 백악기(1),1,안동
234,Qb(II)(S),제4기 현무암(II),8,2048090.755621,256011.344452625,16369.399487670002,1,신생대 제4기(8),1,제주
235,Qtb(VIII)(S),제4기 조면현무암(VIII),4,2013578.0277179999,503394.50692949997,10237.97785716,1,신생대 제4기(4),1,제주
236,Kch1,경상루층군천수만층군남당리층,3,1954826.650435,651608.8834783334,11738.598442179999,1,중생대 백악기(3),1,대전
237,Qtb(V)(S),제4기 조면현무암(V),3,1774702.153738,591567.3845793334,8949.63214706,1,신생대 제4기(3),1,제주
238,Knsm,경상계층군 초평층군 사암 및 이암,4,1520665.845379,380166.46134475,9245.20901042,1,중생대 백악기(4),1,서울
239,Jjss,대동층군 사암및셰일,1,1280949.3525,1280949.3525,7204.63883146,1,중생대 쥐라기(1),1,남천점
240,Jjs,대동층군 석문층,1,1078673.93796,1078673.93796,6234.6611188,1,중생대 쥐라기(1),1,서울
241,Qb(I)(T),제4기 현무암(I),1,967299.1894,967299.1894,3677.37368662,1,신생대 제4기(1),1,제주
242,PCEls,선캠브리아시대 백령층군 석회암,3,925717.938207,308572.646069,9344.508463959999,1,선캄브리아시대(3),1,진남포
243,Kd,백악기 맥암,2,761248.97949,380624.489745,7800.665644569999,1,중생대 백악기(2),1,진남포
244,SF,제3기 서귀포층,1,261442.539703,261442.539703,3233.62348473,1,신생대 신진기~고진기(1),1,제주
245,Kycs,경상계층군 초평층군 역질사암,1,251478.775562,251478.775562,2044.07632102,1,중생대 백악기(1),1,서울
246,Qta(S),제4기 조면안산암,1,85002.4217635,85002.4217635,1231.67800571,1,신생대 제4기(1),1,제주
