wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099658.16017793002538383 1767214.31948781991377473, 1099672.42055325000546873 1767221.21852594008669257))",SA002,211448,2723063100,35803045,54000,19880414,,1,13,16,,0,0,1.80001E+12,1,,211448,SA006,,88299,B,470,520,P0,0,,,
"MultiLineString ((1099738.59289691993035376 1767195.9719026000238955, 1099735.70137452008202672 1767195.94401956000365317))",SA002,38001,2723063100,35803045,54000,19960907,,1,25,10,,0,0,1.80001E+12,1,25-96,38001,SA006,,149945,B,470,520,P0,0,,,
"MultiLineString ((1099738.60761310998350382 1767219.36786778992973268, 1099735.33707275008782744 1767219.33739433996379375))",SA002,106561,2723063100,35803045,54000,19930414,,1,13,8,,0,0,1.80001E+12,1,13-93,106561,SA006,,149949,B,470,520,P0,0,,,
"MultiLineString ((1099683.95473776990547776 1767186.0204693500418216, 1099687.43802192993462086 1767187.46830522990785539))",SA002,211451,2723063100,35803045,54000,19880404,,1,13,14,,0,0,1.80001E+12,1,,211451,SA006,,130085,B,470,520,P0,0,,,
"MultiLineString ((1099738.81494865007698536 1767230.04873246001079679, 1099735.3982355899643153 1767230.28827832988463342))",SA002,245439,2723063100,35803045,54000,19900625,,1,13,12,,0,0,1.80001E+12,1,13-90,245439,SA006,,183522,B,470,520,P0,0,,,
"MultiLineString ((1099738.75163937010802329 1767226.93643830996006727, 1099735.44777934998273849 1767226.90567784989252687))",SA002,37999,2723063100,35803045,54000,19930419,,1,13,8,,0,0,1.80001E+12,1,13-93,37999,SA006,,68340,B,470,520,P0,0,,,
"MultiLineString ((1099714.44796671997755766 1767216.69858922995626926, 1099718.41980480006895959 1767218.83174915006384254))",SA002,38000,2723063100,35803045,54000,19880414,,1,13,12,,0,0,1.80001E+12,1,,38000,SA006,,101621,B,470,520,P0,0,,,
"MultiLineString ((1099713.29446465009823442 1767218.84663578006438911, 1099709.17587610008195043 1767216.63528228993527591))",SA002,72443,2723063100,35803045,54000,19880414,,1,13,6,,0,0,1.80001E+12,1,,72443,SA006,,94977,B,470,520,P0,0,,,
"MultiLineString ((1099658.17120853997766972 1767178.47900366992689669, 1099661.64005534001626074 1767178.5118753700517118))",SA002,177341,2723063100,35803045,54000,19930706,,1,13,8,,0,0,1.80001E+12,1,,177341,SA006,,176910,B,470,520,P0,0,,,
"MultiLineString ((1099668.61491884989663959 1767208.24280431005172431, 1099671.58781775995157659 1767210.9046495899092406))",SA002,143136,2723063100,35803045,54000,19910406,,1,13,6,,0,0,1.80001E+12,1,,143136,SA006,,28028,B,470,520,P0,0,,,
"MultiLineString ((1099693.45002893009223044 1767203.02111215004697442, 1099691.12494890997186303 1767207.18896538997069001))",SA002,3915,2723063100,35803045,54000,19880514,,1,13,8,,0,0,1.80001E+12,1,,3915,SA006,,209820,B,470,520,P0,0,,,
"MultiLineString ((1099658.1762369500938803 1767178.01613758993335068, 1099654.2145755800884217 1767177.97780580003745854))",SA002,72446,2723063100,35803045,54000,19930706,,1,13,8,,0,0,1.80001E+12,1,,72446,SA006,,55323,B,470,520,P0,0,,,
